conf_ini;rep_ini;rcp_ini;paso;rh0;pozo
-0.2;0.6;-0.2;93;0.6765545773971824;-4781.949999999994
-0.2;0.6;-0.2;94;0.6781442808017148;-4795.085999999988
-0.2;0.6;-0.2;95;0.6796566973554796;-4806.715999999982
-0.2;0.6;-0.2;96;0.6812284448246696;-4817.62999999998
-0.2;0.6;-0.2;97;0.6827032295203987;-4828.499999999975
-0.2;0.6;-0.2;98;0.6842523533075986;-4839.3699999999735
-0.2;0.6;-0.2;99;0.6856998911733097;-4849.383999999971
-0.2;0.6;-0.2;100;0.6871381792024011;-4859.3079999999645
-0.2;0.6;-0.2;101;0.6885071219831663;-4868.307999999964
-0.2;0.6;-0.2;102;0.6899504251229716;-4876.725999999963
-0.2;0.6;-0.2;103;0.6914528701190901;-4884.481999999961
-0.2;0.6;-0.2;104;0.6927792366154759;-4891.851999999962
-0.2;0.6;-0.2;105;0.6942337934076928;-4898.757999999959
-0.2;0.6;-0.2;106;0.6956250283759161;-4905.7959999999575
-0.2;0.6;-0.2;107;0.6969716718628964;-4912.113999999959
-0.2;0.6;-0.2;108;0.6983921374699352;-4917.473999999957
-0.2;0.6;-0.2;109;0.6997758778696331;-4922.799999999958
-0.2;0.6;-0.2;110;0.7011635732944258;-4927.7839999999605
-0.2;0.6;-0.2;111;0.7025004593386189;-4931.69199999996
-0.2;0.6;-0.2;112;0.7038677816479847;-4935.265999999962
-0.2;0.6;-0.2;113;0.7053393407423981;-4938.337999999965
-0.2;0.6;-0.2;114;0.7067038662569581;-4941.773999999968
-0.2;0.6;-0.2;115;0.7080813295806443;-4944.213999999972
-0.2;0.6;-0.2;116;0.7093602466642346;-4946.521999999974
-0.2;0.6;-0.2;117;0.7106331389835528;-4948.81399999998
-0.2;0.6;-0.2;118;0.711925421835784;-4949.963999999982
-0.2;0.6;-0.2;119;0.7132910164862925;-4950.133999999988
-0.2;0.6;-0.2;120;0.7145674400507318;-4950.657999999993
-0.2;0.6;-0.2;121;0.715829555664318;-4950.071999999999
-0.2;0.6;-0.2;122;0.7171078165602025;-4950.118000000004
-0.2;0.6;-0.2;123;0.7184145365584292;-4948.700000000011
-0.2;0.6;-0.2;124;0.7195915174982168;-4947.484000000017
-0.2;0.6;-0.2;125;0.7210462404595652;-4945.09000000002
-0.2;0.6;-0.2;126;0.7224308247019934;-4943.160000000029
-0.2;0.6;-0.2;127;0.7236931809090724;-4940.72600000004
-0.2;0.6;-0.2;128;0.7248690501711547;-4937.506000000045
-0.2;0.6;-0.2;129;0.7262422535834638;-4933.742000000054
-0.2;0.6;-0.2;130;0.7275070499693785;-4929.5560000000605
-0.2;0.6;-0.2;131;0.7286356083427874;-4924.9300000000685
-0.2;0.6;-0.2;132;0.7298838904493437;-4919.74800000008
-0.2;0.6;-0.2;133;0.7312114710075506;-4915.090000000085
-0.2;0.6;-0.2;134;0.732384828550958;-4909.95600000009
-0.2;0.6;-0.2;135;0.7337279734926595;-4903.568000000098
-0.2;0.6;-0.2;136;0.7349700744824466;-4896.864000000106
-0.2;0.6;-0.2;137;0.7362385463286298;-4890.104000000116
-0.2;0.6;-0.2;138;0.7374530875298235;-4882.228000000123
-0.2;0.6;-0.2;139;0.7387061481880618;-4874.386000000134
-0.2;0.6;-0.2;140;0.7400055711585832;-4866.008000000144
