conf_ini;rep_ini;rcp_ini;paso;rh0;pozo
0.7;-0.5;-0.1;218;0.8418711698967307;-41062.43400073804
0.7;-0.5;-0.1;219;0.8434566069615896;-40630.98000074229
0.7;-0.5;-0.1;220;0.8450751205451027;-40191.36800074653
0.7;-0.5;-0.1;221;0.846686006004555;-39747.838000750846
0.7;-0.5;-0.1;222;0.8482858597982619;-39297.986000755096
0.7;-0.5;-0.1;223;0.8498919375948134;-38841.014000759096
0.7;-0.5;-0.1;224;0.8514802750041629;-38380.54600076278
0.7;-0.5;-0.1;225;0.8530671447798231;-37914.858000766326
0.7;-0.5;-0.1;226;0.8546308697556824;-37441.088000769894
0.7;-0.5;-0.1;227;0.8562378084577769;-36964.100000773404
0.7;-0.5;-0.1;228;0.8578303106640426;-36480.06200077684
0.7;-0.5;-0.1;229;0.8594114696233721;-35990.47400078028
0.7;-0.5;-0.1;230;0.8609749602221289;-35495.97400078333
0.7;-0.5;-0.1;231;0.8625580602733095;-34998.096000786005
0.7;-0.5;-0.1;232;0.8641371169279989;-34491.1040007885
0.7;-0.5;-0.1;233;0.8656882179907212;-33979.94400079094
0.7;-0.5;-0.1;234;0.8672408774107032;-33464.04400079331
0.7;-0.5;-0.1;235;0.8687982228248267;-32942.306000795725
0.7;-0.5;-0.1;236;0.8703522871380549;-32415.878000798166
0.7;-0.5;-0.1;237;0.8718967697133313;-31883.12800080051
0.7;-0.5;-0.1;238;0.8734361593372125;-31342.96800080292
0.7;-0.5;-0.1;239;0.8749857833234063;-30797.906000805342
0.7;-0.5;-0.1;240;0.8765339822752546;-30247.900000807527
0.7;-0.5;-0.1;241;0.8780662437509464;-29692.550000809566
0.7;-0.5;-0.1;242;0.8796031353882512;-29132.582000811635
0.7;-0.5;-0.1;243;0.8811044143065295;-28567.530000813735
0.7;-0.5;-0.1;244;0.8826091943534868;-27995.270000815868
0.7;-0.5;-0.1;245;0.8841070664728018;-27421.184000817993
0.7;-0.5;-0.1;246;0.8855856303077622;-26839.876000820143
0.7;-0.5;-0.1;247;0.8870593765409034;-26253.744000822095
0.7;-0.5;-0.1;248;0.8885160186808652;-25660.498000823976
0.7;-0.5;-0.1;249;0.889966503708217;-25063.15200082562
0.7;-0.5;-0.1;250;0.8914305775822168;-24462.220000827314
